filename,microscope,cell_line,culture_medium,formation_method,seeding_density,timepoint,biological_rep,technical_rep,magnification,full_path,mask_path,timepoint_hour,seeding_density_num
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_082h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,082h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_082h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_082h_B1_T5_10X.tiff,82,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,146h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_146h_B1_T5_10X.tiff,146,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_090h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,090h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_090h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_090h_B1_T5_10X.tiff,90,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_134h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,134h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_134h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_134h_B1_T5_10X.tiff,134,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,338h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_338h_B1_T5_10X.tiff,338,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_218h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,218h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_218h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_218h_B1_T5_10X.tiff,218,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_094h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,094h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_094h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_094h_B1_T5_10X.tiff,94,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_086h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,086h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_086h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_086h_B1_T5_10X.tiff,86,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_110h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,110h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_110h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_110h_B1_T5_10X.tiff,110,3000
MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_098h_B1_T5_10X.ome.tiff,IncucyteS3_Images,MCF10A,DMEMF12-BME,LiquidOverlay-ULA,3000cells,098h,B1,T5,10,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Images/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_098h_B1_T5_10X.ome.tiff,/kaggle/input/slimia/IncucyteS3/IncucyteS3/Manual segmentations/MCF10A-BME/T5/MCF10A_DMEMF12-BME_LiquidOverlay-ULA_3000cells_098h_B1_T5_10X.tiff,98,3000
